There are 180,350 different words in the collocation database for this query (Query "{stellen/V}" (case-sensitive) returned 249,044 matches in 197,633 different texts)  
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts
9963	Rehhagel	1878	10.278	14	14
9964	Reichsbahn	1390	7.607	14	13
9965	Reinhold	2529	13.841	14	14
9966	Repräsentantenhaus	1442	7.892	14	14
9967	Richtlinie	3305	18.088	14	14
9968	Richtungen	3845	21.043	14	14
9969	Rieger	2232	12.215	14	13
9970	Roberto	3821	20.912	14	14
9971	Rosi	1886	10.322	14	14
9972	Route	3004	16.44	14	13
9973	Ruhr	3470	18.991	14	14
9974	Rösler	1653	9.047	14	13
9975	Rüstungsindustrie	1549	8.477	14	13
9976	SV	8424	46.103	14	14
9977	Saga	1307	7.153	14	14
9978	Schlagzeug	3128	17.119	14	14
9979	Schnee	7930	43.399	14	14
9980	Schuldigen	1795	9.824	14	14
9981	Scorsese	1235	6.759	14	14
9982	Sechstel	526	2.879	14	14
9983	Seidel	1771	9.692	14	14
9984	Sekte	2873	15.723	14	14
9985	Selbsthilfe	2392	13.091	14	14
9986	Selten	3211	17.573	14	14
9987	Senatskanzlei	2261	12.374	14	14
9988	Severin	1645	9.003	14	14
9989	Sigrid	1995	10.918	14	14
9990	Simone	2811	15.384	14	14
9991	Skinheads	4425	24.217	14	14
9992	Sondersitzung	3957	21.656	14	14
9993	Soweit	2733	14.957	14	14
9994	Spielfeld	2248	12.303	14	14
9995	Staatsangehörigkeit	2622	14.35	14	14
9996	Staatsminister	1858	10.168	14	14
9997	Staatsregierung	1436	7.859	14	14
9998	Staatsvertrag	2629	14.388	14	13
9999	Stadtbibliothek	1496	8.187	14	14
10000	Stadtstaaten	952	5.21	14	14
10001	Standorte	4548	24.89	14	14
10002	Steffel	1840	10.07	14	14
10003	Steglitz	2415	13.217	14	14
10004	Stille	6891	37.713	14	14
10005	Stirn	4796	26.247	14	14
10006	Stopp	3487	19.084	14	14
10007	Strafkammer	2196	12.018	14	14
10008	Streichung	4342	23.763	14	14
10009	Sudans	1812	9.917	14	14
10010	Super	3940	21.563	14	13
10011	Säcke	1402	7.673	14	14
10012	Säulen	2373	12.987	14	14
10013	Tablett	480	2.627	14	11
10014	Tausch	1508	8.253	14	14
10015	Teppich	4151	22.718	14	14
10016	Theaterstück	2721	14.891	14	14
10017	Theologie	1863	10.196	14	14
10018	Totenschein	178	0.974	14	14
10019	Treiben	4141	22.663	14	14
10020	Treuhandanstalt	1807	9.889	14	13
10021	Täglich	2983	16.325	14	14
10022	US-Soldaten	4097	22.422	14	14
10023	Uganda	3833	20.977	14	13
10024	Umweltbundesamt	1380	7.552	14	14
10025	Umweltschutzorganisation	1628	8.91	14	14
10026	Umweltverwaltung	1270	6.95	14	12
10027	Unabhängigen	1403	7.678	14	14
10028	Unbekannten	2605	14.257	14	14
10029	Ungereimtheiten	1278	6.994	14	14
10030	Unicef	1756	9.61	14	14
10031	Untergebenen	1129	6.179	14	14
10032	Unterstützer	3241	17.737	14	14
10033	Urania	1274	6.972	14	14
10034	Urteils	2040	11.165	14	14
10035	Verbraucherschutz	2251	12.319	14	14
10036	Vergewaltigungen	2285	12.505	14	14
10037	Vermarktung	3109	17.015	14	14
10038	Verrat	3845	21.043	14	14
10039	Vertriebenen	2953	16.161	14	14
10040	Verunglimpfung	848	4.641	14	14
10041	Verunsicherung	2950	16.145	14	14
10042	Visum	2649	14.497	14	14
10043	Vorbedingung	791	4.329	14	14
10044	spiele	3769	20.627	14	14
10045	spreche	3657	20.014	14	14
10046	springen	5389	29.493	14	14
10047	stammende	3288	17.995	14	14
10048	streiten	9552	52.276	14	14
10049	strengere	1215	6.649	14	14
10050	ständigen	6017	32.93	14	14
10051	stärken	9003	49.271	14	14
10052	symbolisch	3304	18.082	14	14
10053	syrische	2028	11.099	14	14
10054	sächsische	2623	14.355	14	14
10055	südlichen	6092	33.34	14	13
10056	taz/dpa	3319	18.164	14	14
10057	technischer	2674	14.634	14	14
10058	tiefen	5429	29.712	14	14
10059	trage	3777	20.671	14	14
10060	traurige	3427	18.755	14	14
10061	trotzig	1895	10.371	14	14
10062	trugen	4976	27.233	14	14
10063	töten	6428	35.179	14	14
10064	unerfüllbare	94	0.514	14	14
10065	ungestraft	1099	6.015	14	13
10066	ungewiss	2005	10.973	14	14
10067	unsicher	4596	25.153	14	14
10068	unteren	5032	27.539	14	14
10069	unverändert	4223	23.112	14	14
10070	verdammt	4996	27.342	14	14
10071	vergebens	2566	14.043	14	14
10072	verkürzt	2553	13.972	14	14
10073	vernünftig	3543	19.39	14	14
10074	versehentlich	2112	11.559	14	14
10075	versprechen	6000	32.837	14	14
10076	verstoße	2126	11.635	14	14
10077	verwickelt	5019	27.468	14	14
10078	verwiesen	5704	31.217	14	14
10079	verzichtete	2878	15.751	14	14
10080	vorbildlich	1752	9.588	14	14
10081	vorliegen	5517	30.193	14	14
10082	vorsieht	5285	28.924	14	14
10083	vorwiegend	5948	32.552	14	14
10084	vorzubeugen	1360	7.443	14	14
10085	wechselte	4244	23.227	14	14
10086	wehren	8644	47.307	14	14
10087	wehrt	5137	28.114	14	14
10088	weithin	1977	10.82	14	14
10089	wenden	8818	48.259	14	14
10090	wendet	6580	36.011	14	14
10091	widersprach	3152	17.25	14	14
10092	wird.	1913	10.469	14	14
10093	worauf	4115	22.521	14	14
10094	zurückzuführen	4852	26.554	14	14
10095	zweierlei	2066	11.307	14	14
10096	Ältere	2454	13.43	14	14
10097	Ämtern	2444	13.376	14	14
10098	Ärztekammer	2248	12.303	14	14
10099	Österreichs	2892	15.827	14	14
10100	Übertragung	3529	19.313	14	14
10101	Übung	2897	15.855	14	14
10102	ägyptischen	4273	23.385	14	14
10103	ähnlicher	3035	16.61	14	14
10104	älteste	3879	21.229	14	14
10105	00	5167	28.278	14	13
10106	101	2056	11.252	14	14
10107	1935	2125	11.63	14	14
10108	1936	3399	18.602	14	14
10109	1938	4684	25.635	14	14
10110	1949	4266	23.347	14	14
10111	3,5	4861	26.603	14	14
10112	62	5076	27.78	14	14
10113	70.000	4233	23.166	14	14
10114	8.000	6135	33.576	14	14
10115	88	4708	25.766	14	14
10116	AIDS	1797	9.835	14	13
10117	AOK	2618	14.328	14	14
10118	Abgabe	3405	18.635	14	14
10119	Abgrenzung	2674	14.634	14	13
10120	Abitur	5947	32.547	14	14
10121	Abrißantrag	57	0.312	14	13
10122	Adams	2763	15.121	14	13
10123	Adressen	3382	18.509	14	14
10124	Aggression	3123	17.092	14	14
10125	Ahmed	3367	18.427	14	14
10126	Aids-Hilfe	1640	8.975	14	11
10127	Akte	4039	22.105	14	14
10128	Alleinerziehende	1305	7.142	14	13
10129	Alters	3216	17.6	14	14
10130	Anlässlich	1313	7.186	14	14
10131	Anschuldigungen	2718	14.875	14	14
10132	Antichrist	236	1.292	14	14
10133	Arbeitern	3725	20.386	14	14
10134	Arbeiterpartei	4468	24.452	14	14
10135	Arbeitslosenhilfe	2416	13.222	14	11
10136	Arthur	3134	17.152	14	14
10137	Artikeln	1758	9.621	14	14
10138	Auftraggeber	3062	16.758	14	14
10139	Ausschnitte	1346	7.366	14	14
10140	Ausschreitungen	5048	27.627	14	14
10141	Aussiedler	2358	12.905	14	14
10142	Autoindustrie	1970	10.781	14	14
10143	Autors	4225	23.123	14	14
10144	BGS	1900	10.398	14	14
10145	Bagger	2681	14.673	14	14
10146	Balkan	4956	27.123	14	14
10147	Barack	3587	19.631	14	13
10148	Bargeld	2692	14.733	14	14
10149	Barroso	1137	6.223	14	14
10150	Bauen	3258	17.83	14	14
10151	Baustopp	2076	11.362	14	14
10152	Beckmann	2417	13.228	14	13
10153	Begegnungen	3686	20.173	14	14
10154	Behinderten	3571	19.543	14	14
10155	Beirut	4935	27.008	14	14
10156	Belgrader	2392	13.091	14	14
10157	Belohnung	2631	14.399	14	14
10158	Benzin	5193	28.42	14	14
10159	Bereicherung	1992	10.902	14	14
10160	Berlin-Romane	27	0.148	14	14
10161	BesucherInnen	3885	21.262	14	14
10162	Betäubungsmittelgesetz	607	3.322	14	14
10163	Beweismittel	1412	7.728	14	14
10164	Bewerbungen	2632	14.404	14	14
10165	Bewunderung	1721	9.419	14	14
10166	Bildungsminister	1111	6.08	14	14
10167	Blauhelme	1869	10.229	14	14
10168	Blicken	1714	9.38	14	14
10169	Blix	689	3.771	14	13
10170	Blog	1064	5.823	14	14
10171	Blue	4380	23.971	14	13
10172	Borussia	6783	37.122	14	14
10173	Bosnier	1876	10.267	14	14
10174	Bosse	1709	9.353	14	14
10175	Brauerei	1763	9.649	14	14
10176	Britta	2164	11.843	14	14
10177	Brücken	4336	23.73	14	14
10178	Brückner	1283	7.022	14	13
10179	Budapest	4216	23.073	14	14
10180	Buenos	4438	24.288	14	14
10181	Bundesaußenminister	2679	14.662	14	14
10182	Bundesfinanzministerium	1251	6.846	14	14
10183	Bundesverkehrsministerium	1072	5.867	14	14
10184	Burger	2349	12.856	14	14
10185	Carmen	2795	15.296	14	14
10186	Carter	2288	12.522	14	14
10187	Celle	2679	14.662	14	14
10188	Cohen	1823	9.977	14	14
10189	DB	2586	14.153	14	13
10190	DSU	1606	8.789	14	13
10191	Damaskus	3495	19.127	14	14
10192	Darmstadt	3126	17.108	14	14
10193	Delmenhorst	2325	12.724	14	14
10194	Differenzierung	1363	7.459	14	14
10195	Dorothea	2708	14.82	14	14
10196	Drama	7688	42.075	14	14
10197	Drittens	1714	9.38	14	14
10198	Dschihad	1992	10.902	14	13
10199	Durchbruch	6318	34.577	14	14
10200	E-Mail	4408	24.124	14	14
10201	EU-Parlament	1517	8.302	14	13
10202	Echo	3356	18.367	14	14
10203	Eckart	2069	11.323	14	14
10204	Eckert	1156	6.327	14	13
10205	Eckhard	1886	10.322	14	14
10206	Ecuador	2462	13.474	14	14
10207	Ehlers	1394	7.629	14	14
10208	Einberufung	1447	7.919	14	14
10209	Einleitung	2221	12.155	14	14
10210	Einmarsch	3153	17.256	14	14
10211	exemplarisch	1570	8.592	14	14
10212	falscher	2903	15.888	14	14
10213	fehlten	4791	26.22	14	14
10214	feiert	10861	59.44	14	14
10215	fein	3862	21.136	14	14
10216	festzunehmen	656	3.59	14	14
10217	fliegen	9928	54.334	14	14
10218	fliehen	4964	27.167	14	14
10219	folgerichtig	2104	11.515	14	14
10220	formalen	2044	11.186	14	14
10221	freiwilligen	3321	18.175	14	14
10222	friedliche	5645	30.894	14	14
10223	frische	3249	17.781	14	14
10224	fände	2266	12.401	14	14
10225	geboten	8326	45.566	14	14
10226	geeignetes	813	4.449	14	14
10227	gegnerischen	1830	10.015	14	14
10228	genauen	4003	21.908	14	14
10229	gestorben	15261	83.52	14	14
10230	gestrichen	11302	61.853	14	13
10231	gesuchte	1144	6.261	14	14
10232	gesundheitlichen	2675	14.64	14	14
10233	gewalttätige	1772	9.698	14	14
10234	gewannen	3977	21.765	14	14
10235	gewartet	4507	24.666	14	14
10236	gewiss	3721	20.364	14	14
10237	gewählte	3933	21.524	14	14
10238	gewähren	5548	30.363	14	14
10239	gewünschten	2517	13.775	14	14
10240	grün	5060	27.692	14	14
10241	gängige	2015	11.028	14	14
10242	gängigen	2639	14.443	14	14
10243	günstig	4275	23.396	14	14
10244	heikle	1413	7.733	14	14
10245	herauszufinden	2654	14.525	14	14
10246	herein	2738	14.985	14	14
10247	hervorragend	3811	20.857	14	13
10248	hintenan	69	0.378	14	14
10249	höchstpersönlich	1723	9.43	14	14
10250	hübsch	3733	20.43	14	14
10251	individuell	3125	17.102	14	14
10252	individueller	1586	8.68	14	14
10253	intime	1177	6.442	14	14
10254	irgendeine	3448	18.87	14	14
10255	islamisches	463	2.534	14	14
10256	jemandem	3052	16.703	14	14
10257	jugendliche	3147	17.223	14	14
10258	jährlichen	4846	26.521	14	14
10259	kaufte	3822	20.917	14	14
10260	klagte	4383	23.987	14	14
10261	klang	4044	22.132	14	14
10262	klingen	7039	38.523	14	14
10263	komisch	5987	32.766	14	14
10264	kommentieren	3539	19.368	14	14
10265	kommerziellen	3733	20.43	14	14
10266	konkretes	1441	7.886	14	14
10267	kultureller	2844	15.565	14	14
10268	künftiger	1801	9.857	14	14
10269	lebendig	4566	24.989	14	14
10270	lehrt	3959	21.667	14	14
10271	meinung	4922	26.937	14	14
10272	militanten	3826	20.939	14	14
10273	militärisch	5307	29.044	14	14
10274	mitgebracht	3524	19.286	14	14
10275	modernes	2149	11.761	14	14
10276	mächtige	2981	16.314	14	14
10277	nachhaltigen	2113	11.564	14	14
10278	nachzudenken	3848	21.059	14	14
10279	nationalistischen	3487	19.084	14	14
10280	negative	4212	23.051	14	14
10281	nickt	2258	12.358	14	14
10282	norddeutschen	4080	22.329	14	14
10283	offenbart	4215	23.068	14	13
10284	optimistisch	7590	41.538	14	14
10285	passend	2503	13.698	14	14
10286	privates	1953	10.688	14	14
10287	profitiert	5253	28.749	14	14
10288	protestierte	2261	12.374	14	14
10289	präsentierten	2931	16.041	14	14
10290	psychisch	4245	23.232	14	14
10291	puncto	1839	10.064	14	14
10292	rechtsstaatliche	811	4.438	14	14
10293	regelmäßigen	3065	16.774	14	14
10294	regierende	2665	14.585	14	14
10295	regierenden	4585	25.093	14	14
10296	reinen	5593	30.609	14	14
10297	reist	4575	25.038	14	14
10298	reißen	4376	23.949	14	14
10299	relevanten	1753	9.594	14	13
10300	renoviert	1977	10.82	14	14
10301	rumänische	2160	11.821	14	14
10302	rückblickend	903	4.942	14	14
10303	rücken	5623	30.773	14	14
10304	schief	4366	23.894	14	14
10305	schimpft	4500	24.628	14	14
10306	schleswig-holsteinische	2388	13.069	14	14
10307	schmalen	3625	19.839	14	14
10308	schwanger	3158	17.283	14	13
10309	schützt	4376	23.949	14	14
10310	sechzig	3360	18.389	14	14
10311	seid	4392	24.036	14	14
10312	setzten	9463	51.789	14	14
10313	sofortiger	1600	8.756	14	14
10314	Vorhang	3456	18.914	14	14
10315	Vorstandssprecher	1457	7.974	14	14
10316	Vorzüge	1590	8.702	14	14
10317	WASHINGTON	3431	18.777	14	14
10318	Walesa	2522	13.802	14	13
10319	Wandsbek	2027	11.093	14	14
10320	Warten	4775	26.133	14	13
10321	Wehrmacht	3734	20.435	14	13
10322	Weisheit	2826	15.466	14	14
10323	Weisung	2564	14.032	14	14
10324	Weltöffentlichkeit	1680	9.194	14	14
10325	Widersprüchen	1199	6.562	14	14
10326	Wiedergutmachung	2061	11.279	14	14
10327	Wilde	2725	14.913	14	14
10328	Winterschlaf	483	2.643	14	14
10329	Wirtschaftsressort	1696	9.282	14	14
10330	Wirtschaftswissenschaftler	1469	8.04	14	14
10331	Witwe	3651	19.981	14	14
10332	Wochenzeitung	3170	17.349	14	14
10333	Wohlfahrtsverband	924	5.057	14	14
10334	Wohnungsbaugesellschaft	2094	11.46	14	14
10335	Wuppertal	4193	22.947	14	13
10336	Wurzeln	7003	38.326	14	14
10337	Währenddessen	1735	9.495	14	14
10338	Zeichner	1889	10.338	14	14
10339	Zentralrat	2347	12.845	14	14
10340	Zielgruppe	4038	22.099	14	14
10341	Zone	5709	31.244	14	14
10342	Zumutung	1927	10.546	14	14
10343	Zusammenhalt	2150	11.767	14	14
10344	Zwanziger	1234	6.753	14	13
10345	abgesetzt	4138	22.646	14	14
10346	absurde	2392	13.091	14	14
10347	ai	1949	10.666	14	12
10348	albanischen	3348	18.323	14	14
10349	algerische	1880	10.289	14	14
10350	andern	2909	15.92	14	14
10351	angeblicher	2113	11.564	14	14
10352	angemeldet	7587	41.522	14	14
10353	angeordnet	5312	29.071	14	14
10354	angeschlossen	5136	28.108	14	14
10355	anlässlich	4378	23.96	14	14
10356	annehmen	6649	36.389	14	13
10357	annähernd	3092	16.922	14	14
10358	antisemitische	2126	11.635	14	14
10359	arbeitende	1742	9.534	14	14
10360	aufgewachsen	5562	30.44	14	14
10361	aufhalten	4692	25.678	14	14
10362	aufzuheben	2513	13.753	14	14
10363	ausgewählten	2384	13.047	14	13
10364	ausgezeichnet	8638	47.274	14	14
10365	australische	2599	14.224	14	14
10366	ausziehen	1792	9.807	14	14
10367	auszuschließen	5153	28.201	14	14
10368	außerordentlich	3739	20.463	14	14
10369	avancierte	1803	9.867	14	14
10370	banale	963	5.27	14	14
10371	bedacht	3881	21.24	14	14
10372	befristet	2149	11.761	14	13
10373	begeben	4829	26.428	14	14
10374	beherrscht	6563	35.918	14	14
10375	behinderte	2708	14.82	14	14
10376	berliner	2084	11.405	14	14
10377	berücksichtigen	4444	24.321	14	14
10378	bestanden	5151	28.19	14	14
10379	besuchte	5148	28.174	14	14
10380	betroffene	2696	14.755	14	14
10381	bewaffnet	2777	15.198	14	14
10382	bewährt	2705	14.804	14	14
10383	bitten	7217	39.497	14	14
10384	blauen	6874	37.62	14	13
10385	chemische	2818	15.422	14	14
10386	d.h.	1937	10.601	14	14
10387	dauerte	5850	32.016	14	14
10388	ddp	2738	14.985	14	14
10389	diesbezüglich	1167	6.387	14	14
10390	dominierten	2426	13.277	14	14
10391	drängende	433	2.37	14	13
10392	e.	4104	22.46	14	14
10393	eingelegt	4489	24.567	14	14
10394	eingeräumt	6324	34.61	14	14
10395	eklatanten	663	3.628	14	14
10396	empfangen	7423	40.624	14	14
10397	enden	7220	39.513	14	13
10398	entdeckte	5507	30.139	14	14
10399	entstandene	2585	14.147	14	14
10400	erhöhten	3384	18.52	14	14
10401	ermittelte	1823	9.977	14	14
10402	erneuerbaren	2747	15.034	14	14
10403	ernsthaften	2255	12.341	14	14
10404	erreichten	4507	24.666	14	14
10405	erspart	4009	21.94	14	14
10406	erwies	3840	21.016	14	14
10407	Einzige	4541	24.852	14	14
10408	Eisenbahn	2559	14.005	14	14
10409	Endlager	3141	17.19	14	14
10410	Energieversorger	2074	11.351	14	14
10411	Entwurfs	1118	6.119	14	14
10412	Erdbeben	4366	23.894	14	14
10413	Ernennung	3076	16.834	14	14
10414	Erwerb	2507	13.72	14	14
10415	Eure	2265	12.396	14	14
10416	Exekutive	1742	9.534	14	13
10417	Explosion	7513	41.117	14	14
10418	Export	5314	29.082	14	14
10419	Express	2781	15.22	14	14
10420	Fahrplan	2065	11.301	14	14
10421	Fahrten	2370	12.971	14	14
10422	Faszination	3667	20.069	14	14
10423	Favoriten	2579	14.114	14	14
10424	Feiern	3767	20.616	14	14
10425	Fiktion	3379	18.493	14	14
10426	Flora	3859	21.119	14	14
10427	Forschern	1223	6.693	14	14
10428	Forschungsprojekt	1044	5.714	14	14
10429	Fortführung	1765	9.659	14	14
10430	Forums	2753	15.067	14	14
10431	Francisco	5363	29.351	14	14
10432	Frauengruppen	874	4.783	14	14
10433	Freiheiten	3232	17.688	14	14
10434	Freitagabend	3642	19.932	14	14
10435	Frey	2473	13.534	14	14
10436	Fußgänger	3058	16.736	14	14
10437	GERNOT	1452	7.947	14	14
10438	Galeristen	1052	5.757	14	13
10439	Ganztagsschulen	1711	9.364	14	14
10440	Gates	2252	12.325	14	14
10441	Gauck	1899	10.393	14	13
10442	Gedicht	3794	20.764	14	14
10443	Gegnern	3916	21.431	14	14
10444	Gehorsam	1787	9.78	14	14
10445	Gehälter	4754	26.018	14	14
10446	Genossenschaft	2621	14.344	14	14
10447	Gepäck	3255	17.814	14	14
10448	Gerichtssaal	3091	16.916	14	14
10449	Gesellschaftsordnung	581	3.18	14	14
10450	Gesichtspunkten	2151	11.772	14	14
10451	Gewaltmonopol	693	3.793	14	14
10452	Glaubens	2467	13.501	14	13
10453	Gore	2664	14.58	14	13
10454	Grauens	1169	6.398	14	14
10455	Grundordnung	880	4.816	14	14
10456	Gründer	5206	28.491	14	14
10457	Gustav	3236	17.71	14	14
10458	Gutes	5843	31.977	14	14
10459	Handvoll	3688	20.184	14	14
10460	Hannoveraner	2120	11.602	14	14
10461	Hassan	3280	17.951	14	13
10462	Heidegger	1106	6.053	14	12
10463	Hin	3614	19.779	14	13
10464	Holst	927	5.073	14	14
10465	Humboldt-Uni	1403	7.678	14	14
10466	IRA	4225	23.123	14	14
10467	Ihres	2002	10.957	14	14
10468	Ilse	2771	15.165	14	14
10469	Index	2471	13.523	14	14
10470	Industrieländer	2585	14.147	14	13
10471	Inhaftierten	2036	11.143	14	14
10472	Innere	3632	19.877	14	14
10473	Inneren	4316	23.621	14	14
10474	Internets	1324	7.246	14	14
10475	Iris	2827	15.472	14	13
10476	Isaf	959	5.248	14	14
10477	Islamischen	4126	22.581	14	14
10478	Ivan	2796	15.302	14	14
10479	Jahresbilanz	577	3.158	14	14
10480	Jene	1783	9.758	14	14
10481	Jeweils	1379	7.547	14	14
10482	Johnny	3989	21.831	14	14
10483	Jonas	3259	17.836	14	14
10484	Jubel	3848	21.059	14	14
10485	Justizbehörde	1448	7.925	14	14
10486	Justizministerium	2873	15.723	14	14
10487	KSZE	1498	8.198	14	11
10488	Kadi	700	3.831	14	14
10489	Kalkül	3644	19.943	14	14
10490	Kameraden	3449	18.876	14	14
10491	Kanzlerkandidaten	1185	6.485	14	14
10492	Kapitulation	2242	12.27	14	14
10493	Kardinal	2911	15.931	14	14
10494	Kathrin	1940	10.617	14	13
10495	Kindergeld	2248	12.303	14	12
10496	Klaus-Dieter	1423	7.788	14	14
10497	Klausurtagung	1481	8.105	14	14
10498	Knake-Werner	1399	7.656	14	13
10499	Einwände	3727	20.397	13	13
10500	Einzelpersonen	1822	9.971	13	13
10501	Einzig	3064	16.769	13	13
10502	Elf	5692	31.151	13	13
10503	Entdeckung	4946	27.068	13	13
10504	Entlassungen	3923	21.47	13	13
10505	Entscheidend	3916	21.431	13	13
10506	Entwaffnung	1809	9.9	13	13
10507	Erkenntnissen	4382	23.982	13	13
10508	Erzieher	1945	10.645	13	12
10509	Etats	1900	10.398	13	13
10510	Fabian	2083	11.4	13	12
10511	Falsch	1588	8.691	13	13
10512	Falschaussage	812	4.444	13	13
10513	Feministin	1457	7.974	13	12
10514	Ferne	5601	30.653	13	13
10515	Flexibilität	2761	15.11	13	13
10516	Flugblatt	2797	15.307	13	13
10517	FolmaRegisseur	13	0.071	13	13
10518	Formation	1720	9.413	13	13
10519	Fragestunde	490	2.682	13	11
10520	Franco	2376	13.003	13	13
10521	Freundeskreis	2132	11.668	13	13
10522	Freytag	1431	7.832	13	13
10523	Fricke	1908	10.442	13	13
10524	Futter	2459	13.458	13	13
10525	Führerschein	2312	12.653	13	13
10526	Fülle	3889	21.284	13	13
10527	Gauweiler	1538	8.417	13	13
10528	GdP	2162	11.832	13	13
10529	Gebäuden	3912	21.41	13	13
10530	Gedenken	4247	23.243	13	13
10531	Geduldsprobe	99	0.542	13	13
10532	Gefährlichkeit	1239	6.781	13	13
10533	Gehör	3494	19.122	13	13
10534	Geistliche	1678	9.183	13	13
10535	Gemeint	2677	14.651	13	13
10536	Germany	2254	12.336	13	13
10537	Gern	1517	8.302	13	13
10538	Geschwister	3158	17.283	13	13
10539	Geschäften	4203	23.002	13	13
10540	Gesundheitsminister	1901	10.404	13	13
10541	Gesundheitszustand	1603	8.773	13	13
10542	Gläubigen	2847	15.581	13	12
10543	Gouverneure	634	3.47	13	13
10544	Grenzwerte	3013	16.49	13	13
10545	Großstadt	5435	29.745	13	13
10546	Großstädten	3214	17.59	13	13
10547	Grünen-Abgeordnete	1055	5.774	13	13
10548	Guinea	1697	9.287	13	13
10549	Haftantrag	61	0.334	13	12
10550	Hans-Georg	1398	7.651	13	13
10551	Hauptquartier	3059	16.741	13	13
10552	Hausbesitzer	1722	9.424	13	12
10553	Haushalten	2403	13.151	13	13
10554	Haushalts	2203	12.057	13	13
10555	Hausmeister	2207	12.078	13	13
10556	Heidelberg	4017	21.984	13	13
10557	Hein	2172	11.887	13	13
10558	Hella	1040	5.692	13	12
10559	Hierarchien	1290	7.06	13	13
10560	Hilfsmittel	1165	6.376	13	13
10561	Horror	3003	16.435	13	13
10562	Hosen	4778	26.149	13	13
10563	Hungerstreik	6663	36.465	13	13
10564	Husseins	2672	14.623	13	12
10565	Immobilie	1846	10.103	13	13
10566	Inflation	4667	25.541	13	13
10567	Ingenieur	3255	17.814	13	13
10568	Intensität	3038	16.626	13	13
10569	JVA	2795	15.296	13	13
10570	Jahresbeginn	3523	19.281	13	13
10571	Jahrgang	4977	27.238	13	13
10572	Jakarta	2848	15.587	13	13
10573	Jena	3210	17.568	13	13
10574	Jobcenter	1203	6.584	13	11
10575	Jordan	3071	16.807	13	13
10576	Justizverwaltung	929	5.084	13	12
10577	Justizvollzugsanstalt	1842	10.081	13	13
10578	Jüdische	3580	19.593	13	13
10579	Jüttner	1384	7.574	13	12
10580	KNÖDLER	1419	7.766	13	13
10581	Kammergericht	1335	7.306	13	13
10582	Kammern	2113	11.564	13	13
10583	Kammerspiele	1274	6.972	13	13
10584	Karoline	1793	9.813	13	13
10585	Kartellamt	1794	9.818	13	12
10586	Kay	2145	11.739	13	12
10587	Kehrtwende	1345	7.361	13	13
10588	Kenia	4147	22.696	13	13
10589	Kennedy	2892	15.827	13	13
10590	Kennzeichen	2757	15.088	13	13
10591	Kerry	2029	11.104	13	13
10592	Killer	3160	17.294	13	13
10593	Kirchengemeinden	983	5.38	13	13
10594	Klinikum	1893	10.36	13	13
10595	Klonen	1100	6.02	13	12
10596	Koalitionen	2491	13.633	13	13
10597	speziell	6758	36.985	13	13
10598	sportlichen	3341	18.285	13	13
10599	studiert	8760	47.942	13	13
10600	stundenlang	3614	19.779	13	12
10601	stützt	3860	21.125	13	13
10602	subjektive	1409	7.711	13	13
10603	südafrikanische	2996	16.396	13	13
10604	taz-Serie	1476	8.078	13	13
10605	tip	8279	45.309	13	13
10606	tägliche	3987	21.82	13	13
10607	tödlichen	4674	25.58	13	13
10608	u.	10041	54.952	13	13
10609	umfassendes	1736	9.501	13	13
10610	umfaßt	2849	15.592	13	13
10611	unrealistisch	2241	12.265	13	12
10612	unterstützten	3271	17.901	13	13
10613	verbesserte	2633	14.41	13	13
10614	verbirgt	4257	23.298	13	13
10615	verbotene	2715	14.859	13	13
10616	verbreiten	5802	31.753	13	13
10617	vereinbaren	3155	17.267	13	13
10618	verlängern	4570	25.011	13	13
10619	vernünftigen	2353	12.877	13	13
10620	verrät	5269	28.836	13	13
10621	verstärkten	2528	13.835	13	13
10622	vertrat	2632	14.404	13	13
10623	verwunderlich	2415	13.217	13	12
10624	vgl.	2902	15.882	13	13
10625	vielfältige	1918	10.497	13	13
10626	vielfältigen	2502	13.693	13	13
10627	vierzehn	3356	18.367	13	13
10628	vorangegangenen	1846	10.103	13	13
10629	vorlegen	7661	41.927	13	13
10630	wahrlich	3185	17.431	13	13
10631	wandte	5316	29.093	13	13
10632	warteten	2791	15.275	13	13
10633	weitergehen	6525	35.71	13	13
10634	weitgehende	1871	10.24	13	13
10635	wiederholen	5699	31.189	13	13
10636	wilde	4408	24.124	13	13
10637	wirst	2778	15.203	13	13
10638	wochenlang	2478	13.562	13	13
10639	woran	2777	15.198	13	13
10640	woraufhin	1544	8.45	13	13
10641	worden.	1779	9.736	13	13
10642	zehnte	2178	11.92	13	13
10643	zeitlich	3325	18.197	13	13
10644	zentrales	2356	12.894	13	13
10645	zeugt	3070	16.801	13	13
10646	zugegeben	4209	23.035	13	13
10647	zugrunde	5179	28.344	13	13
10648	zuwenig	2622	14.35	13	13
10649	zweifelhaft	2258	12.358	13	13
10650	Ägypter	1844	10.092	13	13
10651	Ähnlichkeit	1707	9.342	13	13
10652	Österreicher	3904	21.366	13	13
10653	Özdemir	2468	13.507	13	13
10654	Übel	3311	18.12	13	13
10655	à	7667	41.96	13	13
10656	ärztliche	2348	12.85	13	13
10657	ästhetisch	1997	10.929	13	13
10658	übereinander	1426	7.804	13	13
10659	übersetzen	2354	12.883	13	13
10660	überwunden	4155	22.739	13	13
10661	Komiker	1244	6.808	13	13
